section_id,norm_multi_family_score,norm_single_family_score,norm_score,urban_parcel_classification,norm_optimal_housing_type,num_housing_units,municipality_name,district_name,comarca,lat,lon,cluster_sc,cluster_description,household_income_sc,multi_family_rental_ppm2_sc,multi_family_purchase_ppm2_percentile_sc,single_family_rental_ppm2_sc,single_family_purchase_ppm2_percentile_sc,office_analysis,office_rental_ppm2
821001002,19.14491041326971,13.654685195183747,19.14491041326971,Other,Multi-Family,11.0,Sant Feliu de Codines,Sant Feliu de Codines,Valles Oriental,41.68437822,2.165149089,1,07 Peripheral Areas,49916.0,6.7,1252.356757,4.2,708.7073170731707,Other,0.0
821002001,17.58256517069985,18.47831293313724,18.47831293313724,Other,Single Family,9.0,Sant Feliu de Codines,Sant Feliu de Codines,Valles Oriental,41.69011017,2.15928375,1,07 Peripheral Areas,48189.0,6.8,1281.340541,5.3,1102.4430894308944,Other,0.0
821002002,19.3221581327381,8.781061485310476,19.3221581327381,Other,Multi-Family,588.0,Sant Feliu de Codines,Sant Feliu de Codines,Valles Oriental,41.70045059,2.154092784,1,07 Peripheral Areas,42537.0,7.2,1400.302703,3.3,489.2317073170732,Mix Use New Development,5.688000000000001
821101001,35.31648249152974,6.155889402208709,35.31648249152974,Other,,0.0,Sant Feliu de Llobregat,Can Nadal,Baix Llobregat,41.38042951,2.048260627,2,"05 Central Metropolitan Location, Regeneration",59786.0,11.4,2941.816216,6.5,1764.5121951219512,Other,0.0
821101002,35.62562985510143,20.541406997803843,35.62562985510143,Other,,0.0,Sant Feliu de Llobregat,Can Nadal,Baix Llobregat,41.38258477,2.046064957,1,07 Peripheral Areas,61597.0,10.4,2526.356757,5.7,1279.719512195122,Other,0.0
821101003,29.88579170162784,26.540451186334806,29.88579170162784,Other,,0.0,Sant Feliu de Llobregat,Can Nadal,Baix Llobregat,41.38355271,2.043439013,2,"05 Central Metropolitan Location, Regeneration",61151.0,10.7,2647.816216,5.6,1230.1788617886175,Other,0.0
821101004,31.04617612508725,0.0,31.04617612508725,Other,,0.0,Sant Feliu de Llobregat,Les Grases,Baix Llobregat,41.38984675,2.039579135,1,07 Peripheral Areas,72995.0,10.2,2446.897297,,,Other,0.0
821101005,28.38917020772869,23.770540790056792,28.38917020772869,Other,,0.0,Sant Feliu de Llobregat,"Can Bertrand, Armenteres",Baix Llobregat,41.37822387,2.046992674,1,07 Peripheral Areas,52998.0,11.8,3116.475676,7.9,2679.5772357723577,Other,0.0
821101006,29.6384621245998,0.0,29.6384621245998,Other,,0.0,Sant Feliu de Llobregat,Can Nadal,Baix Llobregat,41.38129328,2.042493354,2,"05 Central Metropolitan Location, Regeneration",52047.0,10.6,2607.027027,,,Other,0.0
821101007,31.80432802258115,38.81715972668929,38.81715972668929,Other,,0.0,Sant Feliu de Llobregat,"Can Bertrand, Armenteres",Baix Llobregat,41.37527174,2.038528301,1,07 Peripheral Areas,61948.0,12.7,3527.167568,9.9,3831.219512195122,Other,0.0
821102003,22.71642298719736,0.0,22.71642298719736,Other,,0.0,Sant Feliu de Llobregat,Falguera,Baix Llobregat,41.38803321,2.031653367,1,07 Peripheral Areas,40427.0,11.0,2772.0,,,Other,0.0
821102004,32.35931953807112,0.0,32.35931953807112,Other,,0.0,Sant Feliu de Llobregat,Falguera,Baix Llobregat,41.38046,2.040851637,3,"04 Quality Location, Regeneration",44455.0,9.8,2291.610811,,,Other,0.0
